PlayerYear,allstar_current,allstar_next,allstar_ever,yrs_played,seasonYYYY,offseason_trade,media_mktsize_post,google_trends,team_winpct_pre,WC_post,dpoy,smoy,mip,roy,PG,SG,SF,PF,C,Opp_MP_per_G,Opp_FGA_per_G,Opp_PTS,Opp_TRB_per_G,Opp_AST_per_G,Age,G,GS,FG_perc,3P_perc,2P_perc,eFG_perc,FT_perc,MP_per_G,FG_per_G,FGA_per_G,3P_per_G,3PA_per_G,2P_per_G,2PA_per_G,FT_per_G,FTA_per_G,ORB_per_G,DRB_per_G,TRB_per_G,AST_per_G,STL_per_G,BLK_per_G,TOV_per_G,PF_per_G,PTS,FG_per_36m,FGA_per_36m,3P_per_36m,3PA_per_36m,2P_per_36m,2PA_per_36m,FT_per_36m,FTA_per_36m,ORB_per_36m,DRB_per_36m,TRB_per_36m,AST_per_36m,STL_per_36m,BLK_per_36m,TOV_per_36m,PF_per_36m,PTS_per_36m,PER,TS_perc,3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,OWS,DWS,WS,WS_per_48,OBPM,DBPM,BPM,VORP,FG_per_100p,FGA_per_100p,3P_per_100p,3PA_per_100p,2P_per_100p,2PA_per_100p,FT_per_100p,FTA_per_100p,ORB_per_100p,DRB_per_100p,TRB_per_100p,AST_per_100p,STL_per_100p,BLK_per_100p,TOV_per_100p,PF_per_100p,PTS_per_100p,ORtg,DRtg,P_G,P_GS,P_FG_perc,P_3P_perc,P_2P_perc,P_eFG_perc,P_FT_perc,P_MP_per_G,P_FG_per_G,P_FGA_per_G,P_3P_per_G,P_3PA_per_G,P_2P_per_G,P_2PA_per_G,P_FT_per_G,P_FTA_per_G,P_ORB_per_G,P_DRB_per_G,P_TRB_per_G,P_AST_per_G,P_STL_per_G,P_BLK_per_G,P_TOV_per_G,P_PF_per_G,P_PTS,P_FG_per_36m,P_FGA_per_36m,P_3P_per_36m,P_3PA_per_36m,P_2P_per_36m,P_2PA_per_36m,P_FT_per_36m,P_FTA_per_36m,P_ORB_per_36m,P_DRB_per_36m,P_TRB_per_36m,P_AST_per_36m,P_STL_per_36m,P_BLK_per_36m,P_TOV_per_36m,P_PF_per_36m,P_PTS_per_36m,P_PER,P_TS_perc,P_3PAr,P_FTr,P_ORB_perc,P_DRB_perc,P_TRB_perc,P_AST_perc,P_STL_perc,P_BLK_perc,P_TOV_perc,P_USG_perc,P_OWS,P_DWS,P_WS,P_WS_per_48,P_OBPM,P_DBPM,P_BPM,P_VORP,P_FG_per_100p,P_FGA_per_100p,P_3P_per_100p,P_3PA_per_100p,P_2P_per_100p,P_2PA_per_100p,P_FT_per_100p,P_FTA_per_100p,P_ORB_per_100p,P_DRB_per_100p,P_TRB_per_100p,P_AST_per_100p,P_STL_per_100p,P_BLK_per_100p,P_TOV_per_100p,P_PF_per_100p,P_PTS_per_100p,P_ORtg,P_DRtg
Sasha Vujacic2007,0,0,0,2,2007,0,3.517733333,0,0.512195122,0,0,0,0,0,0,1,0,0,0,63.9,7.7,7,0.9,2.4,22,73,4,0.392,0.373,0.421,0.504,0.878,12.8,1.4,3.7,0.8,2.2,0.6,1.5,0.6,0.7,0.4,1.1,1.5,0.9,0.6,0,0.4,1.4,4.3,4,10.3,2.3,6.2,1.7,4.1,1.7,1.9,1.1,3,4.1,2.5,1.6,0,1.2,4,12.1,11.7,0.54,0.601,0.183,3.5,9.8,6.7,10.3,2.3,0.1,9.4,15.4,1.2,0.6,1.8,0.091,0.5,-1.8,-1.3,0.2,5.8,14.7,3.3,8.8,2.5,5.9,2.4,2.7,1.5,4.3,5.9,3.5,2.3,0.1,1.6,5.7,17.2,112,110,4,0,0.556,0.25,0.8,0.611,0,10.8,1.3,2.3,0.3,1,1,1.3,0,0,0.5,0.5,1,0.8,0.3,0,0.8,1,2.8,4.2,7.5,0.8,3.3,3.3,4.2,0,0,1.7,1.7,3.3,2.5,0.8,0,2.5,3.3,9.2,9.3,0.611,0.444,0,4.9,5.7,5.3,10.3,1.2,0,25,12.1,0,0,0,0.006,-0.2,-0.5,-0.6,0,5.9,10.6,1.2,4.7,4.7,5.9,0,0,2.4,2.4,4.7,3.5,1.2,0,3.5,4.7,13,106,118
Marcus Banks2008,0,0,0,4,2008,0,1.69784,0,0.182926829,0,0,0,0,0,1,0,0,0,0,62,9.3,8,1.6,2.80E+00,26,36,3,0.45,0.392,0.517,0.555,0.771,15.8,2.4,5.3,1.1,2.8,1.3,2.5,0.8,1,0.1,1.1,1.3,1.7,0.4,0.4,1,1.8,6.6,5.4,12.1,2.5,6.5,2.9,5.6,1.7,2.2,0.3,2.6,2.8,3.9,0.9,0.8,2.3,4.1,15.1,12.6,0.579,0.534,0.183,0.9,8.3,4.6,17.7,1.3,1.6,15.2,19.7,0.5,0.3,0.8,0.068,0.1,-2.2,-2.1,0,7.7,17.2,3.6,9.2,4.1,8,2.4,3.1,0.4,3.7,4,5.5,1.3,1.2,3.3,5.8,21.5,106,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaniel Dickens2008,0,0,0,4,2008,0,1.39947,0,0.548780488,0,0,0,0,0,0,0,0,1,0,20.5,3.4,1.9,1.4,2.8,29,5,0,0.333,0,0.333,0.333,0,2.4,0.2,0.6,0,0,0.2,0.6,0,0,0,0.2,0.2,0.2,0,0.2,0,0.2,0.4,3,9,0,0,3,9,0,0,0,3,3,3,0,3,0,3,6,6.6,0.333,0,0,0,9.8,4.7,12.7,0,6.6,0,11.3,0,0,0,0.023,-7.6,1,-6.6,0,4.4,13.3,0,0,4.4,13.3,0,0,0,4.4,4.4,4.4,0,4.4,0,4.4,8.9,90,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Udonis Haslem2008,0,0,0,4,2008,0,1.69784,0,0.182926829,0,0,0,0,0,0,0,0,1,0,62,9.3,8,1.6,2.8,27,49,48,0.467,0,0.467,0.467,0.81,36.8,4.8,10.3,0,0,4.8,10.3,2.3,2.9,2.2,6.9,9,1.4,0.8,0.4,1.4,3,12,4.7,10.1,0,0,4.7,10.1,2.3,2.8,2.1,6.7,8.8,1.4,0.8,0.4,1.3,2.9,11.7,12.7,0.517,0,0.28,7,22.7,14.7,6.5,1.1,0.8,10.5,16.7,1,1.5,2.5,0.067,-2.8,0.2,-2.7,-0.3,7,14.9,0,0,7,14.9,3.4,4.2,3.2,9.9,13.1,2,1.1,0.5,2,4.3,17.4,104,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Johnson2008,0,0,0,10,2008,1,1.56589,0,0.463414634,0,0,0,0,0,1,0,0,0,0,45.2,4.1,1.5,2.5,6.2,33,69,52,0.437,0.452,0.431,0.496,0.814,22.2,2.2,5.1,0.6,1.3,1.6,3.8,0.5,0.6,0.3,1.7,2,3.8,0.8,0.1,1.2,1.7,5.6,3.6,8.3,1,2.2,2.7,6.2,0.8,1,0.5,2.7,3.2,6.2,1.2,0.2,2,2.7,9.1,11.2,0.517,0.262,0.121,1.7,8.7,5.2,26.3,1.8,0.4,18.3,13.5,1.1,0.9,2,0.061,-1.3,-1.7,-3,-0.4,5.3,12.1,1.4,3.2,3.8,8.9,1.2,1.5,0.7,3.9,4.7,8.9,1.8,0.3,2.9,3.9,13.2,107,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rashard Lewis2008,0,1,1,9,2008,0,1.56589,0,0.634146341,0,0,0,0,0,0,0,1,0,0,45.2,4.1,1.5,2.5,6.2,28,81,81,0.455,0.409,0.498,0.554,0.838,38,6.4,14,2.8,6.8,3.6,7.2,2.7,3.2,1.2,4.2,5.4,2.4,1.2,0.5,1.7,2.6,18.2,6,13.3,2.6,6.5,3.4,6.8,2.6,3,1.1,4,5.1,2.3,1.2,0.4,1.6,2.5,17.3,16.7,0.591,0.487,0.229,3.8,12.2,8.2,10.5,1.7,0.9,10.1,20.7,6.1,3.7,9.8,0.153,3.4,0.6,4,4.6,8.6,19,3.8,9.2,4.8,9.7,3.6,4.3,1.6,5.7,7.3,3.3,1.7,0.6,2.3,3.6,24.7,115,106,10,10,0.436,0.309,0.526,0.5,0.821,41.7,7.1,16.3,2.1,6.8,5,9.5,3.2,3.9,2.4,4.8,7.2,3.4,1.1,0.5,2.3,1.8,19.5,6.1,14.1,1.8,5.9,4.3,8.2,2.8,3.4,2.1,4.1,6.2,2.9,0.9,0.4,2,1.6,16.8,18.3,0.541,0.417,0.239,6.9,13.3,10.1,14.4,1.4,0.9,11.3,23.2,0.8,0.3,1.1,0.13,3.5,0.8,4.3,0.7,9.3,21.4,2.8,8.9,6.6,12.5,4.2,5.1,3.2,6.3,9.5,4.5,1.4,0.7,3,2.4,25.7,113,110
Shaquille O'Neal*2008,0,1,1,15,2008,0,1.86442,0,0.670731707,0,0,0,0,1,0,0,0,0,1,5.5,1.7,2,-0.3,-0.1,35,61,61,0.593,0,0.593,0.593,0.503,28.7,5.4,9.1,0,0,5.4,9.1,2.8,5.5,2.7,6.4,9.1,1.5,0.5,1.4,3,3.7,13.6,6.8,11.5,0,0,6.8,11.5,3.5,7,3.4,8,11.4,1.9,0.7,1.8,3.7,4.7,17.1,17.1,0.589,0,0.606,11.4,24.8,18.4,9.1,0.9,3.7,20.4,23.5,0.6,2.3,2.8,0.078,-2,1.3,-0.7,0.6,9.8,16.4,0,0,9.8,16.4,5,10,4.9,11.4,16.3,2.7,0.9,2.6,5.3,6.7,24.5,101,105,5,5,0.44,0,0.44,0.44,0.5,30,4.4,10,0,0,4.4,10,6.4,12.8,2.6,6.6,9.2,1,1,2.6,1.8,4.2,15.2,5.3,12,0,0,5.3,12,7.7,15.4,3.1,7.9,11,1.2,1.2,3.1,2.2,5,18.2,18.9,0.486,0,1.28,10.1,26.1,18,5.4,1.7,5.9,10.3,26.9,0,0.3,0.3,0.102,-1.9,3,1.1,0.1,7.6,17.3,0,0,7.6,17.3,11.1,22.1,4.5,11.4,15.9,1.7,1.7,4.5,3.1,7.3,26.3,99,99
Leon Powe2008,0,0,0,1,2008,0,2.36487,0,0.804878049,0,0,0,0,0,0,0,0,0,1,40,7.7,6.9,0.7,2.2,24,56,5,0.572,0,0.575,0.572,0.71,14.4,2.8,4.8,0,0,2.8,4.8,2.4,3.4,1.7,2.4,4.1,0.3,0.3,0.3,0.8,2.3,7.9,6.9,12,0,0,6.9,11.9,6.1,8.6,4.2,5.9,10.1,0.7,0.7,0.7,1.9,5.7,19.8,20.9,0.629,0.004,0.717,14.9,18.3,16.7,3.3,1,1.6,10.8,22.8,2.7,1.6,4.3,0.256,0.6,-1.5,-0.9,0.2,10,17.6,0,0.1,10,17.5,8.9,12.6,6.2,8.6,14.8,1,1,1,2.8,8.3,29,124,100,23,1,0.493,0,0.493,0.493,0.667,11.7,1.6,3.2,0,0,1.6,3.2,1.9,2.9,1.4,1.3,2.7,0.2,0,0.1,0.5,2,5,4.8,9.7,0,0,4.8,9.7,5.9,8.8,4.3,4,8.3,0.5,0,0.4,1.6,6,15.5,14.6,0.568,0,0.904,15.1,13.8,14.4,2.6,0,1,10.5,20.4,0.6,0.3,0.9,0.162,-0.9,-2.6,-3.5,-0.1,7.4,15.1,0,0,7.4,15.1,9.1,13.7,6.6,6.2,12.8,0.8,0,0.6,2.5,9.3,24,118,108
Peja Stojakovic2008,0,0,1,9,2008,0,0.62402,0,0.682926829,0,0,0,0,0,0,0,1,0,0,57.2,8,5.8,2.3,6,30,77,77,0.44,0.441,0.438,0.552,0.929,35.2,5.9,13.3,3,6.8,2.9,6.5,1.7,1.8,0.8,3.5,4.3,1.2,0.7,0.1,0.8,1.6,16.4,6,13.6,3.1,7,2.9,6.7,1.7,1.9,0.8,3.5,4.4,1.3,0.8,0.1,0.8,1.7,16.8,15.7,0.581,0.511,0.136,2.7,11.8,7.1,5.6,1.1,0.3,5.3,19.7,5.8,2.4,8.1,0.144,3,-1.2,1.8,2.6,8.9,20.2,4.6,10.3,4.3,9.9,2.6,2.8,1.3,5.3,6.5,1.9,1.1,0.2,1.2,2.5,24.9,119,109,12,12,0.436,0.549,0.366,0.541,0.926,37.9,4.8,11.1,2.3,4.3,2.5,6.8,2.1,2.3,0.5,4.9,5.4,0.5,0.5,0.1,0.7,1.6,14.1,4.6,10.5,2.2,4,2.4,6.5,2,2.1,0.5,4.7,5.1,0.5,0.5,0.1,0.6,1.5,13.4,13.4,0.583,0.383,0.203,1.5,14.3,8,2,0.7,0.2,5.2,16.3,0.7,0.3,1,0.108,1.7,-1,0.7,0.3,7.1,16.2,3.4,6.2,3.7,10,3,3.3,0.7,7.2,7.9,0.7,0.7,0.1,1,2.3,20.6,117,111
Kelenna Azubuike2009,0,0,0,2,2009,0,2.41447,0,0.353658537,0,0,0,0,0,0,1,0,0,0,50.4,4.1,5.9,-1.9,-4.4,25,74,51,0.464,0.448,0.469,0.52,0.808,32.1,5.3,11.4,1.3,2.8,4,8.6,2.5,3.1,1.5,3.5,5,1.6,0.8,0.7,1.3,2.5,14.4,5.9,12.8,1.4,3.2,4.5,9.6,2.8,3.5,1.7,3.9,5.6,1.8,0.9,0.8,1.4,2.8,16.1,14.7,0.562,0.249,0.271,5.1,11.8,8.5,7.6,1.2,1.5,9.1,18.7,3.6,0.5,4.1,0.083,0.9,-1.6,-0.7,0.8,8.1,17.4,1.9,4.3,6.1,13.1,3.8,4.7,2.3,5.3,7.6,2.4,1.2,1,2,3.8,21.9,114,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brent Barry2009,0,0,0,13,2009,0,2.42336,0,0.646341463,0,0,0,0,0,0,1,0,0,0,-10.7,-2.6,-0.4,-2.3,-4.7,37,56,1,0.407,0.374,0.512,0.549,0.95,15.3,1.3,3.1,0.9,2.3,0.4,0.7,0.3,0.4,0.3,1.4,1.7,1.4,0.4,0.1,0.9,0.8,3.7,2.9,7.2,2.1,5.5,0.9,1.7,0.8,0.8,0.7,3.2,3.9,3.3,1,0.1,2,1.9,8.7,9.2,0.575,0.762,0.116,2.4,10.1,6.4,13.7,1.5,0.3,21,12.4,0.4,1.1,1.5,0.082,-0.9,0.4,-0.5,0.3,4.3,10.7,3,8.1,1.3,2.5,1.2,1.2,1.1,4.8,5.8,4.8,1.5,0.2,3,2.8,12.9,106,107,4,0,0.5,0.375,1,0.65,0,8.8,1.3,2.5,0.8,2,0.5,0.5,0,0,0,1,1,0.8,0.5,0,1,0.8,3.3,5.1,10.3,3.1,8.2,2.1,2.1,0,0,0,4.1,4.1,3.1,2.1,0,4.1,3.1,13.4,12,0.65,0.8,0,0,13.1,6.8,15.2,3.1,0,28.6,19.2,0,0.1,0,0.049,-0.3,1.8,1.5,0,7.8,15.7,4.7,12.6,3.1,3.1,0,0,0,6.3,6.3,4.7,3.1,0,6.3,4.7,20.4,95,104
Eddie House2009,0,0,0,8,2009,0,2.36487,0,0.756097561,0,0,0,0,0,1,0,0,0,0,87.4,14,11.6,2.3,7.1,30,81,0,0.445,0.444,0.445,0.579,0.792,18.3,3.1,6.9,1.9,4.2,1.2,2.7,0.5,0.7,0.1,1.8,1.9,1.1,0.8,0.1,0.7,1.4,8.5,6.1,13.6,3.7,8.3,2.4,5.4,1,1.3,0.3,3.6,3.8,2.2,1.5,0.2,1.3,2.8,16.8,15.4,0.592,0.607,0.095,0.9,11.5,6.5,10.3,2.2,0.4,8.6,20.1,2.5,2.4,4.9,0.158,2.4,-0.4,2,1.5,8.9,20.1,5.4,12.2,3.5,7.9,1.5,1.9,0.4,5.2,5.6,3.3,2.2,0.3,2,4.1,24.8,115,103,14,0,0.519,0.486,0.55,0.636,0.909,16.6,2.9,5.5,1.3,2.6,1.6,2.9,0.7,0.8,0.1,1.3,1.4,0.9,0.8,0,0.4,1.9,7.7,6.2,11.9,2.8,5.7,3.4,6.2,1.6,1.7,0.3,2.8,3.1,2,1.7,0,0.9,4,16.8,17.1,0.66,0.481,0.143,1,9.4,5.1,9.9,2.5,0,6.8,17.5,0.6,0.3,0.8,0.175,3.6,-1,2.6,0.3,9.1,17.4,4.1,8.4,5,9.1,2.3,2.5,0.5,4.1,4.5,2.9,2.5,0,1.4,5.9,24.5,126,107
Robin Lopez2009,0,0,0,0,2009,0,1.86442,0,0.56097561,0,0,0,0,0,0,0,0,0,1,-7.6,-2.4,-2.5,0.1,-0.7,20,60,7,0.518,0,0.522,0.518,0.691,10.2,1.2,2.3,0,0,1.2,2.3,0.8,1.1,0.9,1.1,2,0.1,0.2,0.7,0.5,1.6,3.2,4.2,8,0,0.1,4.2,8,2.8,4,3,3.9,6.9,0.5,0.6,2.4,1.6,5.7,11.1,11.6,0.566,0.007,0.496,10.3,12.1,11.2,1.8,0.9,4.9,14.4,14,0.6,0.4,1.1,0.083,-2.1,-0.2,-2.3,0,5.8,11.2,0,0.1,5.8,11.1,3.8,5.5,4.2,5.4,9.6,0.7,0.9,3.3,2.3,7.9,15.4,112,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rashad McCants2009,0,0,0,3,2009,0,1.35769,0,0.207317073,0,0,0,0,0,0,1,0,0,0,22.1,1.8,2.2,-0.3,-1.4,24,58,3,0.393,0.333,0.431,0.458,0.759,19,3.3,8.4,1.1,3.3,2.2,5.2,1.8,2.4,0.4,1.5,1.9,1.2,0.8,0.2,1.1,1.8,9.6,6.3,16,2.1,6.2,4.2,9.8,3.5,4.6,0.7,2.9,3.6,2.2,1.5,0.5,2.1,3.4,18.1,13,0.504,0.387,0.289,2.2,9.7,5.8,10.7,2.2,1,10.4,25.1,0,0.5,0.6,0.025,-0.9,-2.6,-3.5,-0.4,9,22.9,3,8.9,6.1,14.1,5,6.6,1,4.2,5.2,3.2,2.2,0.7,3,4.8,26.1,100,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mikki Moore2009,0,0,0,10,2009,1,2.41447,0,0.756097561,0,0,0,0,0,0,0,0,0,1,50.4,4.1,5.9,-1.9,-4.4,33,70,20,0.553,0,0.553,0.553,0.787,17.2,1.6,2.9,0,0,1.6,2.9,0.7,0.9,1.1,2.6,3.7,0.8,0.2,0.3,0.7,3,3.9,3.4,6.2,0,0,3.4,6.2,1.4,1.8,2.3,5.5,7.7,1.6,0.5,0.6,1.4,6.2,8.3,8.9,0.593,0,0.296,7.6,17.7,12.7,6.6,0.7,1.2,17.1,10.6,1.2,0.9,2.1,0.083,-2.3,0.1,-2.2,-0.1,4.9,8.9,0,0,4.9,8.9,2.1,2.6,3.3,7.8,11.1,2.3,0.7,0.8,2.1,9,11.9,114,111,10,0,0.5,0,0.5,0.5,0.833,6.6,0.5,1,0,0,0.5,1,0.5,0.6,0.6,0.9,1.5,0.4,0.2,0.5,0.1,1.1,1.5,2.7,5.5,0,0,2.7,5.5,2.7,3.3,3.3,4.9,8.2,2.2,1.1,2.7,0.5,6,8.2,15.6,0.593,0,0.6,10.6,16.6,13.5,9.1,1.6,6.3,7.3,9.6,0.2,0.1,0.3,0.195,-0.4,4.4,4,0.1,4,8,0,0,4,8,4,4.8,4.8,7.2,11.9,3.2,1.6,4,0.8,8.8,11.9,136,102
Malik Rose2009,0,0,0,12,2009,0,0.67672,0,0.280487805,0,0,0,0,0,0,0,0,1,0,100.2,20.6,18.4,2.1,4.8,34,38,0,0.344,0,0.363,0.344,0.784,12.4,1.2,3.4,0,0.2,1.2,3.3,1.1,1.3,0.4,2.1,2.5,0.9,0.3,0.1,0.9,1.9,3.4,3.4,10,0,0.5,3.4,9.5,3.1,3.9,1.3,6.1,7.4,2.8,0.8,0.2,2.8,5.5,10,5.3,0.424,0.053,0.389,4,19.5,11.6,11.5,1.1,0.5,19,17.7,-0.8,0.4,-0.4,-0.039,-6.8,-0.5,-7.3,-0.6,4.9,14.1,0,0.8,4.9,13.4,4.3,5.5,1.8,8.5,10.4,3.9,1.1,0.3,3.9,7.8,14,84,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andray Blatche2010,0,0,0,4,2010,0,2.48248,0,0.317073171,0,0,0,0,0,0,0,0,1,0,-8,2.1,2.8,-0.8,-2.2,23,81,36,0.478,0.295,0.487,0.485,0.744,27.9,5.9,12.3,0.2,0.5,5.7,11.8,2.1,2.9,2,4.3,6.3,2.1,1,0.9,2.2,2.7,14.1,7.6,15.9,0.2,0.7,7.4,15.2,2.8,3.7,2.5,5.6,8.1,2.7,1.4,1.1,2.9,3.5,18.2,17.6,0.519,0.044,0.234,7.9,18.2,13,13.8,2,2.4,14.2,25.8,0.8,2.6,3.4,0.073,-0.6,1.2,0.6,1.5,11.1,23.2,0.3,1,10.8,22.2,4,5.4,3.7,8.1,11.8,3.9,2,1.6,4.2,5.1,26.5,101,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elton Brand2010,0,0,1,10,2010,0,2.81685,0,0.329268293,0,0,0,0,1,0,0,0,1,0,6.4,2.9,2.1,0.9,1.9,30,76,57,0.48,0,0.481,0.48,0.738,30.2,5.4,11.3,0,0,5.4,11.3,2.3,3.1,2.4,3.7,6.1,1.4,1.1,1.1,1.7,3.1,13.1,6.5,13.4,0,0,6.5,13.4,2.7,3.7,2.8,4.4,7.2,1.7,1.3,1.3,2.1,3.6,15.6,15.7,0.518,0.001,0.272,9,14.7,11.8,7.9,1.9,2.7,12,21.7,1.6,1.9,3.5,0.073,-1.2,0.2,-1.1,0.5,9.4,19.6,0,0,9.4,19.6,3.9,5.3,4.1,6.4,10.5,2.5,1.9,1.8,3,5.3,22.7,104,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jerryd Bayless2011,0,0,0,2,2011,0,4.857333333,0,0.268292683,0,0,0,0,0,1,0,0,0,0,17.6,6.8,6.9,-0.1,0.3,22,71,14,0.422,0.336,0.456,0.469,0.806,21.1,3.1,7.3,0.7,2.1,2.4,5.2,2.3,2.9,0.4,2,2.3,3.7,0.5,0.1,1.8,2.1,9.2,5.2,12.4,1.2,3.5,4.1,8.9,4,5,0.6,3.3,4,6.4,0.9,0.1,3.1,3.6,15.7,14.1,0.536,0.282,0.398,2,11.3,6.6,27.6,1.3,0.3,17.3,22.1,1.4,0.3,1.6,0.053,0.5,-2.6,-2.1,0,7.6,17.9,1.7,5.1,5.9,12.9,5.8,7.1,0.9,4.8,5.7,9.2,1.3,0.2,4.4,5.2,22.6,105,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlos Delfino2011,0,0,0,6,2011,0,0.84842,0,0.426829268,0,0,0,0,0,0,0,1,0,0,33.6,4.5,3.7,0.9,2.6,28,49,40,0.39,0.37,0.415,0.492,0.8,32.4,4.1,10.5,2.1,5.8,1.9,4.7,1.2,1.5,0.5,3.6,4.1,2.3,1.6,0.2,1.2,1.5,11.5,4.5,11.6,2.4,6.4,2.2,5.2,1.4,1.7,0.5,4,4.5,2.5,1.7,0.2,1.3,1.6,12.8,13.1,0.517,0.554,0.146,1.7,13.2,7.3,12.1,2.6,0.4,9.5,17.7,0.9,2.6,3.5,0.105,0.6,1.5,2.1,1.6,6.7,17.3,3.5,9.6,3.2,7.7,2,2.5,0.8,5.9,6.7,3.8,2.6,0.3,1.9,2.4,19,104,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keyon Dooling2011,0,0,0,10,2011,0,0.84842,0,0.426829268,0,0,0,0,0,1,0,0,0,0,33.6,4.5,3.7,0.9,2.6,30,80,22,0.397,0.346,0.439,0.475,0.83,22,2.6,6.5,1,2.9,1.6,3.6,1,1.2,0.2,1.3,1.5,3,0.7,0.1,1.1,1.5,7.1,4.2,10.6,1.7,4.8,2.6,5.8,1.6,1.9,0.2,2.2,2.4,5,1.1,0.1,1.9,2.4,11.7,11.3,0.509,0.451,0.181,0.8,7.1,3.9,23.4,1.6,0.2,14,17.3,0.8,2.1,2.9,0.08,-1,-1.2,-2.2,-0.1,6.3,15.8,2.5,7.1,3.8,8.7,2.4,2.9,0.4,3.2,3.6,7.4,1.6,0.1,2.8,3.6,17.4,103,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
